,team1,team1score,team1seed,team2,team2score,team2seed,result,year,round,wteam,lteam,wscore,lscore
360,Texas A&M,72,3,Louisville,69,6,0,2007,2,Texas A&M,Louisville,72,69
361,UNLV,74,7,Wisconsin,68,2,0,2007,2,UNLV,Wisconsin,74,68
362,Kansas,88,1,Kentucky,76,8,0,2007,2,Kansas,Kentucky,88,76
363,Ohio St.,78,1,Xavier,71,9,0,2007,2,Ohio St.,Xavier,78,71
364,Oregon,75,3,Winthrop,61,11,0,2007,2,Oregon,Winthrop,75,61
365,Florida,74,1,Purdue,67,9,0,2007,2,Florida,Purdue,74,67
366,North Carolina,81,1,Michigan St.,67,9,0,2007,2,North Carolina,Michigan St.,81,67
367,Pittsburgh,84,3,VCU,79,11,0,2007,2,Pittsburgh,VCU,84,79
368,Vanderbilt,78,6,Washington St.,74,3,0,2007,2,Vanderbilt,Washington St.,78,74
369,Memphis,65,2,Texas A&M,64,3,0,2007,3,Memphis,Texas A&M,65,64
370,Oregon,76,3,UNLV,72,7,0,2007,3,Oregon,UNLV,76,72
371,UCLA,64,2,Pittsburgh,55,3,0,2007,3,UCLA,Pittsburgh,64,55
372,Kansas,61,1,Southern Illinois,58,4,0,2007,3,Kansas,Southern Illinois,61,58
373,Ohio St.,85,1,Tennessee,84,5,0,2007,3,Ohio St.,Tennessee,85,84
374,Florida,65,1,Butler,57,5,0,2007,3,Florida,Butler,65,57
375,North Carolina,74,1,USC,64,5,0,2007,3,North Carolina,USC,74,64
376,Georgetown,66,2,Vanderbilt,65,6,0,2007,3,Georgetown,Vanderbilt,66,65
377,UCLA,68,2,Kansas,55,1,0,2007,4,UCLA,Kansas,68,55
378,Ohio St.,92,1,Memphis,76,2,0,2007,4,Ohio St.,Memphis,92,76
379,Florida,85,1,Oregon,77,3,0,2007,4,Florida,Oregon,85,77
380,Georgetown,96,2,North Carolina,84,1,0,2007,4,Georgetown,North Carolina,96,84
381,Ohio St.,67,1,Georgetown,60,2,0,2007,5,Ohio St.,Georgetown,67,60
382,Florida,76,1,UCLA,66,2,0,2007,5,Florida,UCLA,76,66
383,Florida,84,1,Ohio St.,75,1,0,2007,6,Florida,Ohio St.,84,75
384,Mount St. Mary's,69,16,Coppin St.,60,16,0,2008,0,Mount St. Mary's,Coppin St.,69,60
385,Western Kentucky,101,12,Drake,99,5,0,2008,1,Western Kentucky,Drake,101,99
386,Arkansas,86,9,Indiana,72,8,0,2008,1,Arkansas,Indiana,86,72
387,Stanford,77,3,Cornell,53,14,0,2008,1,Stanford,Cornell,77,53
388,Mississippi St.,76,8,Oregon,69,9,0,2008,1,Mississippi St.,Oregon,76,69
389,Oklahoma,72,6,Saint Joseph's,64,11,0,2008,1,Oklahoma,Saint Joseph's,72,64
390,Kansas St.,80,11,USC,67,6,0,2008,1,Kansas St.,USC,80,67
391,Villanova,75,12,Clemson,69,5,0,2008,1,Villanova,Clemson,75,69
392,Purdue,90,6,Baylor,79,11,0,2008,1,Purdue,Baylor,90,79
393,Tennessee,72,2,American,57,15,0,2008,1,Tennessee,American,72,57
394,Georgetown,66,2,UMBC,47,15,0,2008,1,Georgetown,UMBC,66,47
395,Texas,74,2,Austin Peay,54,15,0,2008,1,Texas,Austin Peay,74,54
396,Miami FL,78,7,Saint Mary's,64,10,0,2008,1,Miami FL,Saint Mary's,78,64
397,Louisville,79,3,Boise St.,61,14,0,2008,1,Louisville,Boise St.,79,61
398,UNLV,71,8,Kent St.,58,9,0,2008,1,UNLV,Kent St.,71,58
399,Xavier,73,3,Georgia,61,14,0,2008,1,Xavier,Georgia,73,61
